major1,major2,Industry
Sociology,,Office and administrative support
Sociology,,Office and administrative support
Sociology,,Office and administrative support
Sociology,,Other (Please describe): agriculture
Sociology,,Other (Please describe): Athletics
Sociology,,Other (Please describe): Fraternal event planning & management
Sociology,,Other (Please describe): Insurance
Sociology,,Other (Please describe): Public Relations
Sociology,,Personal care and service
Spanish,,(Not Answered)
Spanish,,(Not Answered)
Spanish,,(Not Answered)
Spanish,,Business and financial/accounting
Spanish,,Business and financial/accounting
Spanish,,Community and social services
Spanish,,"Education, training and library"
Spanish,,"Education, training and library"
Spanish,,Food preparation and serving related
Spanish,,Healthcare / medical
Spanish,,Healthcare / medical
Spanish,,Healthcare / medical
Spanish,,Legal
Spanish,,Legal
Spanish,,Management
Spanish,,Marketing and sales
Spanish,,Marketing and sales
Spanish,,Office and administrative support
Spanish,,Other (Please describe): Environmental conservation writing
Spanish,,Other (Please describe): Hospitality
Spanish,,Other (Please describe): philanthropy consulting
Studies of Women and Gender,,Healthcare / medical
Studies of Women and Gender,,Other (Please describe): Research
Kinesiology - Exercise Physiology,,Healthcare / medical
Kinesiology - Sports Medicine,,(Not Answered)
Kinesiology - Sports Medicine,,"Education, training and library"
Kinesiology - Sports Medicine,,Healthcare / medical
Kinesiology - Sports Medicine,,Healthcare / medical
Kinesiology - Sports Medicine,,Healthcare / medical
Kinesiology - Sports Medicine,,Marketing and sales
Speech Pathology & Audiology,,(Not Answered)
Speech Pathology & Audiology,,"Education, training and library"
Speech Pathology & Audiology,,Healthcare / medical
Speech Pathology & Audiology,,Healthcare / medical
Speech Pathology & Audiology,,Other (Please describe): Speech therapist in medical setting
Commerce,,Business and financial/accounting
Commerce,,Business and financial/accounting
Commerce,,Management
Commerce,,Marketing and sales
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Business and financial/accounting
Commerce - Accounting,,Office and administrative support
Commerce - Accounting,,Other (Please describe): Business development in renewable energy industry
Commerce - Business Analytics Track,,Business and financial/accounting
Commerce - Business Analytics Track,,Business and financial/accounting
Commerce - Finance,,(Not Answered)
Commerce - Finance,,(Not Answered)
Commerce - Finance,,(Not Answered)
Commerce - Finance,,"Arts, design, entertainment, sports and media"
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Business and financial/accounting
Commerce - Finance,,Community and social services
Commerce - Finance,,Computer and mathematical
Commerce - Finance,,Computer and mathematical
Commerce - Finance,,Computer and mathematical
Commerce - Finance,,Computer and mathematical
Commerce - Finance,,"Education, training and library"
Commerce - Finance,,"Education, training and library"
Commerce - Finance,,"Farming, fishing and forestry"
Commerce - Finance,,Legal
Commerce - Finance,,Legal
Commerce - Finance,,Management
Commerce - Finance,,Marketing and sales
Commerce - Finance,,Marketing and sales
Commerce - Finance,,Marketing and sales
Commerce - Finance,,Marketing and sales
Commerce - Finance,,Other (Please describe): Consulting
Commerce - Finance,,Other (Please describe): Defense
Commerce - Finance,,Other (Please describe): Financial consultancy
Commerce - Finance,,Other (Please describe): Investments
Commerce - Finance,,Transportation
Commerce - International Business,,(Not Answered)
Commerce - International Business,,Business and financial/accounting
Commerce - International Business,,Business and financial/accounting
Commerce - International Business,,Other (Please describe): foreign affairs
Commerce - Management,,Business and financial/accounting
Commerce - Management,,Business and financial/accounting
Commerce - Management,,Computer and mathematical
Commerce - Management,,Computer and mathematical
Commerce - Management,,Computer and mathematical
Commerce - Management,,Management
Commerce - Management,,Other (Please describe): Development/Fundraising
Commerce - Management,,Other (Please describe): Management Consulting
Commerce - Marketing,,(Not Answered)
Commerce - Marketing,,"Arts, design, entertainment, sports and media"
Commerce - Marketing,,"Arts, design, entertainment, sports and media"
Commerce - Marketing,,"Arts, design, entertainment, sports and media"
Commerce - Marketing,,Business and financial/accounting
Commerce - Marketing,,Business and financial/accounting
Commerce - Marketing,,Business and financial/accounting
Commerce - Marketing,,Business and financial/accounting
Commerce - Marketing,,Business and financial/accounting
Commerce - Marketing,,Business and financial/accounting
Commerce - Marketing,,Business and financial/accounting
Commerce - Marketing,,Business and financial/accounting
Commerce - Marketing,,Business and financial/accounting
Commerce - Marketing,,"Education, training and library"
Commerce - Marketing,,"Education, training and library"
Commerce - Marketing,,"Education, training and library"
Commerce - Marketing,,Healthcare / medical
Commerce - Marketing,,Legal
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Marketing and sales
Commerce - Marketing,,Other (Please describe): Evironmental Consulting in the resort industry
Commerce - Marketing,,Other (Please describe): Fundraising
Commerce - Marketing,,Other (Please describe): Software Sales
Commerce - Marketing,,Other (Please describe): strategy and performance
Architecture,,(Not Answered)
Architecture,,Architecture and engineering
Architecture,,Architecture and engineering
Architecture,,Architecture and engineering
Architecture,,Architecture and engineering
Architecture,,Architecture and engineering
Architecture,,Architecture and engineering
Architecture,,Architecture and engineering
Architecture,,Architecture and engineering
Architecture,,Architecture and engineering
Architecture,,"Arts, design, entertainment, sports and media"
Architecture,,"Arts, design, entertainment, sports and media"
Architecture,,Computer and mathematical
Architecture,,Construction and extraction
Architecture,,Marketing and sales
Architecture,,Other (Please describe): Facilities and Design Consulting
Architecture,,"Other (Please describe): Real Estate, Envirnonmental Sustainability"
Architecture - Architectural Design,,Architecture and engineering
Architecture - Architectural Design,,Architecture and engineering
Architecture - Architectural Design,,Architecture and engineering
Architecture - Architectural Design,,Architecture and engineering
Architecture - Architectural Design,,Architecture and engineering
Architecture - Architectural Design,,Architecture and engineering
Architecture - Architectural Design,,"Arts, design, entertainment, sports and media"
Architecture - Architectural Design,,"Arts, design, entertainment, sports and media"
Architecture - Architectural Design,,"Arts, design, entertainment, sports and media"
Architecture - Architectural Design,,Other (Please describe)
Architecture - Architectural Design,,"Other (Please describe): Government, Consulting"
Architecture - Architectural Design,,Other (Please describe): Retail
Architecture - Architectural Studies,,Office and administrative support
Urban and Environmental Planning,,Architecture and engineering
Urban and Environmental Planning,,Architecture and engineering
Urban and Environmental Planning,,Architecture and engineering
Urban and Environmental Planning,,Architecture and engineering
Urban and Environmental Planning,,Architecture and engineering
Urban and Environmental Planning,,Architecture and engineering
Urban and Environmental Planning,,Business and financial/accounting
Urban and Environmental Planning,,Community and social services
Urban and Environmental Planning,,Legal
Urban and Environmental Planning,,Management
Urban and Environmental Planning,,Marketing and sales
Urban and Environmental Planning,,Marketing and sales
Urban and Environmental Planning,,Other (Please describe): advocacy
Urban and Environmental Planning,,Other (Please describe): Business Technology Consulting
Urban and Environmental Planning,,Other (Please describe): Planning and zoning administration
Urban and Environmental Planning,,Other (Please describe): Public policy
Urban and Environmental Planning,,Transportation
Aerospace Engineering,,(Not Answered)
Aerospace Engineering,,Architecture and engineering
Aerospace Engineering,,Architecture and engineering
Aerospace Engineering,,Architecture and engineering
Aerospace Engineering,,Architecture and engineering
Aerospace Engineering,,Architecture and engineering
Aerospace Engineering,,Architecture and engineering
Aerospace Engineering,,Architecture and engineering
Aerospace Engineering,,Marketing and sales
Aerospace Engineering,,Other (Please describe): Defense (Federal Government)
Aerospace Engineering,,Other (Please describe): Engineering
Aerospace Engineering,,Other (Please describe): Patent Office - mix of engineering and legal
Aerospace Engineering,,Other (Please describe): public policy
Biomedical Engineering,,Architecture and engineering
Biomedical Engineering,,Architecture and engineering
Biomedical Engineering,,Business and financial/accounting
Biomedical Engineering,,Computer and mathematical
Biomedical Engineering,,Computer and mathematical
Biomedical Engineering,,Computer and mathematical
Biomedical Engineering,,Healthcare / medical
Biomedical Engineering,,Healthcare / medical
Biomedical Engineering,,Healthcare / medical
Biomedical Engineering,,Legal
Biomedical Engineering,,"Life, physical and social sciences"
Biomedical Engineering,,Management
Biomedical Engineering,,Marketing and sales
Biomedical Engineering,,Other (Please describe): Consulting
Biomedical Engineering,,Other (Please describe): house mom at sorority
Chemical Engineering,,Architecture and engineering
Chemical Engineering,,Architecture and engineering
Chemical Engineering,,Architecture and engineering
Chemical Engineering,,Architecture and engineering
Chemical Engineering,,Computer and mathematical
Chemical Engineering,,"Education, training and library"
Chemical Engineering,,Legal
Chemical Engineering,,Management
Chemical Engineering,,Marketing and sales
Chemical Engineering,,Other (Please describe): Chemical Manufacturing
Chemical Engineering,,Other (Please describe): Consulting
Chemical Engineering,,Other (Please describe): Research
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Architecture and engineering
Civil Engineering,,Construction and extraction
Civil Engineering,,Construction and extraction
Civil Engineering,,Construction and extraction
Civil Engineering,,"Education, training and library"
Civil Engineering,,Healthcare / medical
Civil Engineering,,Marketing and sales
Civil Engineering,,Other (Please describe): Retail Employee
Civil Engineering,,Transportation
Civil Engineering,,Transportation
Computer Engineering,,Architecture and engineering
Computer Engineering,,Architecture and engineering
Computer Engineering,,Business and financial/accounting
Computer Engineering,,Business and financial/accounting
Computer Engineering,,Computer and mathematical
Computer Engineering,,Computer and mathematical
Computer Engineering,,Computer and mathematical
Computer Engineering,,Computer and mathematical
Computer Engineering,,Computer and mathematical
Computer Engineering,,Computer and mathematical
Computer Engineering,,Legal
Computer Engineering,,Management
Computer Science,,Architecture and engineering
Computer Science,,Architecture and engineering
Computer Science,,"Arts, design, entertainment, sports and media"
Computer Science,,Business and financial/accounting
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,Computer and mathematical
Computer Science,,"Education, training and library"
Computer Science,,Other (Please describe): church
Electrical Engineering,,Architecture and engineering
Electrical Engineering,,Architecture and engineering
Electrical Engineering,,Architecture and engineering
Electrical Engineering,,Business and financial/accounting
Electrical Engineering,,Business and financial/accounting
Electrical Engineering,,Computer and mathematical
Electrical Engineering,,"Education, training and library"
Electrical Engineering,,Legal
Electrical Engineering,,Marketing and sales
Engineering Science,,Architecture and engineering
Engineering Science,,Computer and mathematical
Engineering Science,,Healthcare / medical
Engineering Science,,Healthcare / medical
Engineering Science,,Healthcare / medical
Engineering Science,,Marketing and sales
Engineering Science - Materials Science & Engineering,,Other (Please describe): Religious Non-Profit Campus Ministry Organization
Mechanical Engineering,,(Not Answered)
Mechanical Engineering,,(Not Answered)
Mechanical Engineering,,(Not Answered)
Mechanical Engineering,,Architecture and engineering
Mechanical Engineering,,Architecture and engineering
Mechanical Engineering,,Architecture and engineering
Mechanical Engineering,,Architecture and engineering
Mechanical Engineering,,Architecture and engineering
Mechanical Engineering,,Architecture and engineering
Mechanical Engineering,,Architecture and engineering
Mechanical Engineering,,Architecture and engineering
Mechanical Engineering,,Architecture and engineering
Mechanical Engineering,,Architecture and engineering
Mechanical Engineering,,Architecture and engineering
Mechanical Engineering,,Business and financial/accounting
Mechanical Engineering,,Business and financial/accounting
Mechanical Engineering,,Computer and mathematical
Mechanical Engineering,,"Education, training and library"
Mechanical Engineering,,Legal
Mechanical Engineering,,"Life, physical and social sciences"
Mechanical Engineering,,Management
Mechanical Engineering,,Other (Please describe): Consumer product
Mechanical Engineering,,Other (Please describe): Engineering
Mechanical Engineering,,Other (Please describe): Professor
Other,,Computer and mathematical
Systems Engineering,,Architecture and engineering
Systems Engineering,,Architecture and engineering
Systems Engineering,,Architecture and engineering
Systems Engineering,,Business and financial/accounting
Systems Engineering,,Business and financial/accounting
Systems Engineering,,Business and financial/accounting
Systems Engineering,,Business and financial/accounting
Systems Engineering,,Business and financial/accounting
Systems Engineering,,Community and social services
Systems Engineering,,Computer and mathematical
Systems Engineering,,Computer and mathematical
Systems Engineering,,Computer and mathematical
Systems Engineering,,Computer and mathematical
Systems Engineering,,Computer and mathematical
Systems Engineering,,Computer and mathematical
Systems Engineering,,Computer and mathematical
Systems Engineering,,Computer and mathematical
Systems Engineering,,Computer and mathematical
Systems Engineering,,Computer and mathematical
Systems Engineering,,Computer and mathematical
Systems Engineering,,Computer and mathematical
Systems Engineering,,Computer and mathematical
Systems Engineering,,Computer and mathematical
Systems Engineering,,"Education, training and library"
Systems Engineering,,Management
Systems Engineering,,Management
Systems Engineering,,Management
Systems Engineering,,Management
Systems Engineering,,Management
Systems Engineering,,Management
Systems Engineering,,Management
Systems Engineering,,Other (Please describe): Consulting
Systems Engineering,,Other (Please describe): Consulting
Systems Engineering,,Other (Please describe): IT project management
Systems Engineering,,Other (Please describe): Technology Consulting
Nursing,,(Not Answered)
Nursing,,"Education, training and library"
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing,,Healthcare / medical
Nursing - RN to BSN,,(Not Answered)
Nursing - RN to BSN,,(Not Answered)
Nursing - RN to BSN,,Healthcare / medical
Nursing - RN to BSN,,Healthcare / medical
Nursing - RN to BSN,,Healthcare / medical
Nursing - RN to BSN,,Healthcare / medical
Nursing - RN to BSN,,Healthcare / medical
Nursing - RN to BSN,,Healthcare / medical
Nursing - RN to BSN,,Healthcare / medical
