major1,major2,Industry
Drama,,"Arts, design, entertainment, sports and media"
Drama,,"Arts, design, entertainment, sports and media"
Drama,,Business and financial/accounting
Drama,,Food preparation and serving related
Drama,,Legal
Drama,,Other (Please describe): Academic Administrative- University
East Asian Studies,,(Not Answered)
East Asian Studies,,"Education, training and library"
East Asian Studies,,Management
Echols Scholar,,Community and social services
Echols Scholar,,"Education, training and library"
Echols Scholar,,"Education, training and library"
Echols Scholar,,Healthcare / medical
Echols Scholar,,Healthcare / medical
Echols Scholar,,Legal
Echols Scholar,,"Other (Please describe): Public relations, also a trained chef having worked in Europe during 2011"
Economics,,(Not Answered)
Economics,,(Not Answered)
Economics,,(Not Answered)
Economics,,(Not Answered)
Economics,,"Arts, design, entertainment, sports and media"
Economics,,Building and grounds cleaning and maintenance
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Business and financial/accounting
Economics,,Community and social services
Economics,,Community and social services
Economics,,Computer and mathematical
Economics,,Computer and mathematical
Economics,,Computer and mathematical
Economics,,Computer and mathematical
Economics,,Computer and mathematical
Economics,,Computer and mathematical
Economics,,Computer and mathematical
Economics,,Construction and extraction
Economics,,Construction and extraction
Economics,,"Education, training and library"
Economics,,"Education, training and library"
Economics,,"Education, training and library"
Economics,,Food preparation and serving related
Economics,,Healthcare / medical
Economics,,Healthcare / medical
Economics,,Healthcare / medical
Economics,,Law enforcement
Economics,,Legal
Economics,,Legal
Economics,,Legal
Economics,,Legal
Economics,,Legal
Economics,,Legal
Economics,,Legal
Economics,,Legal
Economics,,Legal
Economics,,Legal
Economics,,Legal
Economics,,Legal
Economics,,Legal
Economics,,Legal
Economics,,Legal
Economics,,"Life, physical and social sciences"
Economics,,"Life, physical and social sciences"
Economics,,Management
Economics,,Management
Economics,,Management
Economics,,Management
Economics,,Management
Economics,,Management
Economics,,Management
Economics,,Management
Economics,,Management
Economics,,Management
Economics,,Management
Economics,,Management
Economics,,Marketing and sales
Economics,,Marketing and sales
Economics,,Marketing and sales
Economics,,Marketing and sales
Economics,,Marketing and sales
Economics,,Marketing and sales
Economics,,Marketing and sales
Economics,,Marketing and sales
Economics,,Other (Please describe): analyst
Economics,,Other (Please describe): Asset Management
Economics,,"Other (Please describe): Chief Development Officer - overseeing fundraising, marketing, PR, and events for a museum"
Economics,,Other (Please describe): Consulting
Economics,,Other (Please describe): Consulting
Economics,,Other (Please describe): Consulting/Public Affairs
Economics,,Other (Please describe): economic research
Economics,,Other (Please describe): Energy
Economics,,Other (Please describe): fundraising
Economics,,Other (Please describe): intelligence analysis
Economics,,Other (Please describe): Public policy
Economics,,Other (Please describe): Research Services
Economics,,Other (Please describe): Strategy Consulting
Economics,,Personal care and service
Economics,,Transportation
Economics,,Transportation
English,,(Not Answered)
English,,(Not Answered)
English,,(Not Answered)
English,,(Not Answered)
English,,Architecture and engineering
English,,"Arts, design, entertainment, sports and media"
English,,"Arts, design, entertainment, sports and media"
English,,"Arts, design, entertainment, sports and media"
English,,"Arts, design, entertainment, sports and media"
English,,"Arts, design, entertainment, sports and media"
English,,"Arts, design, entertainment, sports and media"
English,,"Arts, design, entertainment, sports and media"
English,,Business and financial/accounting
English,,Business and financial/accounting
English,,Business and financial/accounting
English,,Community and social services
English,,Computer and mathematical
English,,Construction and extraction
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Education, training and library"
English,,"Farming, fishing and forestry"
English,,Healthcare / medical
English,,Healthcare / medical
English,,Healthcare / medical
English,,Legal
English,,Legal
English,,Legal
English,,Legal
English,,Legal
English,,Legal
English,,Legal
English,,Legal
English,,Legal
English,,Legal
English,,Legal
English,,Management
English,,Management
English,,Management
English,,Management
English,,Marketing and sales
English,,Marketing and sales
English,,Marketing and sales
English,,Marketing and sales
English,,Marketing and sales
English,,Marketing and sales
English,,Marketing and sales
English,,Marketing and sales
English,,Marketing and sales
English,,Office and administrative support
English,,Office and administrative support
English,,Office and administrative support
English,,Office and administrative support
English,,Office and administrative support
English,,Other (Please describe): Communications
English,,Other (Please describe): Consulting
English,,Other (Please describe): Development
English,,Other (Please describe): DoD Contracting
English,,Other (Please describe): Federal consulting
English,,Other (Please describe): Government Contractor
English,,Other (Please describe): IT/ Web Development / User Experience
English,,Other (Please describe): Local Food Systems
English,,Other (Please describe): Media
English,,Other (Please describe): Public Relations
English,,Other (Please describe): Publishing
English,,Other (Please describe): Real estate development and finance
