Major Tags,Art/Art History,Dance/Drama,Music,Classics,English,Modern Languages and Literatures,Philosophy,Religious Studies,Biology,Chemistry,Mathematics/Statistics,Physics,Psychology,Anthropology,Economics,History,Political Studies,Sociology,Interdisciplinary
major1,ARTS,DANC,MUSC,CLAS,ENGL,FREN,PHIL,RELN,BIOL,BCHM,MATH,PHYS,PSYC,ANTH,ECON,HIST,INST,SOCY,AMST
major2,ARHS,DRAM,,LATN,,GERM,,RLST,MBIO,CHEM,,,,,,,PSCI,,BCHM
,,,,,,MLL,,,,,,,,,,,,,INST
,,,,,,RUSS,,,,,,,,,,,,,MBIO
,,,,,,SPAN,,,,,,,,,,,,,NEUR
,,,,,,MFLL,,,,,,,,,,,,,WMNS
,,,,,,,,,,,,,,,,,,,INDS
,,,,,,,,,,,,,,,,,,,SYNP
