Division,Fine Arts,Humanities,Natural Sciences,Social Sciences,Interdisciplinary
,Art/Art History,"Classics (including Latin, Greek, Hebrew, and Sanskrit)",Biology,Anthropology,Synoptic Majors and other interdisciplinary programs (Coded as INDS)
,Dance/Drama,English,Chemistry,Economics,American Studies
,Music,"Modern Languages and Literatures (including Arabic, Chinese, French, German, Italian, Japanese, Russian, and Spanish)",Mathematics/Statistics,History,BioChemistry
,,Philosophy,Physics,Political Science,International Studies
,,Religious Studies,Psychology,Sociology,Molecular Biology
,,,,,Neuroscience
,,,,,Women's and Gender Studies
