Industry Tags,Arts/Entertainment,Writing/Communication,Social/Religious Services,Government,Law,Sales,Consulting,Banking/Financial,Insurance/Management,K-12 Education,College Education,Health/Medicine,Architecture/Engineering,Manufacturing/Construction,Environmental/Natural Resources,Production/Transportation,Technology,Graduate Studies,Other
Industry,Arts,Communications,Environment/Ecology,Government,Law,Advertising,Consulting,Banking,Accounting,Education (Elementary),Education (Higher Education),Health Care,Engineering,Construction,Energy Industries,Transportation,Computer,Graduate Studies,Homemaker
,Broadcast-Radio/Television,Journalism,Human Resources,Law Enforcement,,Marketing/Market Research,,Finance,Business,Education (Secondary),"Research,Scientific",Medicine,Architecture,Manufacturing,Agriculture,,ECommerce/Web,,International
,Entertainment,Publishing,Library Science,Military,,Merchandising/Retail,,Fundraising/Development,Hotel/Food Management,,"Research, Other",Nursing,,,,,,,Self Employed
,Museum Work,Telecommunications,Ministry,,,Public Relations,,Investment/Securities,Insurance,,,Psychology/Counseling/Therapy,,,,,,,Other
,Music,Writing,Non-Profit Adminstration,,,Real Estate,,,,,,Veterinary/Animal Care,,,,,,,
,Performing Arts,,Social Work/Human Services,,,Sales,,,,,,,,,,,,,
,Photography,,Volunteer,,,Travel Agency/Tourism,,,,,,,,,,,,,
,Sports,,,,,,,,,,,,,,,,,,
